drug_name,side_effects,generic_name,drug_classes,brand_names
umeclidinium,"hives , rash, severe itching; difficult breathing; swelling of your face, lips, tongue, or throat. Umeclidinium may cause serious side effects. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using umeclidinium; blurred vision, nausea , vomiting , eye pain or redness, or seeing halos or bright colors around lights; or painful or difficult urination, or urinating more often. Common side effects of umeclidinium may include: cold symptoms such as stuffy nose, sneezing, sore throat , cough; fast or irregular heartbeats; bruising, darkened skin; mouth pain, tooth pain ; muscle or joint pain; stomach pain; or altered sense of taste.",umeclidinium,Anticholinergic bronchodilators,Incruse Ellipta
aclidinium / formoterol,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Aclidinium and formoterol may cause serious side effects. Call your doctor at once if you have: wheezing, choking, or other breathing problems after using aclidinium and formoterol; worsening breathing problems; tremors, nervousness , chest pain, fast or pounding heartbeats; severe headache, pounding in your neck or ears; painful or difficult urination, or urinating more often; blurred vision, tunnel vision, eye pain or redness, or seeing halos around lights; high blood sugar--increased thirst or urination, hunger, dry mouth, fruity breath odor; or low potassium level--leg cramps, constipation , irregular heartbeats, fluttering in your chest, numbness or tingling, muscle weakness or limp feeling. Common side effects of aclidinium and formoterol may include: headache; back pain ; or cold symptoms such as stuffy nose, sneezing, sore throat .",aclidinium and formoterol,Bronchodilator combinations,Duaklir Pressair
budesonide / formoterol / glycopyrrolate,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Budesonide, formoterol, and glycopyrrolate may cause serious side effects. Call your doctor at once if you have: worsened breathing problems; wheezing, choking, or other breathing problems after using this medication; tremors, nervousness , chest pain, fast or pounding heartbeats; sores or white patches in your mouth and throat, pain when swallowing; flu symptoms, body aches, unusual tiredness; painful or burning when you urinate, little or no urination; blurred vision, tunnel vision, eye pain or redness, or seeing halos around lights; low potassium level--leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling; signs of a lung infection--fever, chills, cough with mucus, chest pain, feeling short of breath; or signs of a hormonal disorder--tiredness or weakness, feeling light-headed, nausea , vomiting . Common side effects of budesonide, formoterol, and glycopyrrolate may include: throat pain or irritation; white patches in your mouth or throat; headache , joint pain, muscle spasms; pounding heartbeats, feeling anxious; high blood sugar levels; painful or difficult urination; nausea, diarrhea ; cough, hoarse voice; flu symptoms; or cold symptoms such as stuffy or runny nose , sneezing, sinus pain, sore throat .","budesonide, formoterol, and glycopyrrolate",Bronchodilator combinations,Breztri Aerosphere
formoterol / glycopyrrolate,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Formoterol and glycopyrrolate may cause serious side effects. Call your doctor at once if you have: tremors, nervousness , chest pain, fast or pounding heartbeats; wheezing, choking, or other breathing problems after using this medicine; painful or difficult urination; blurred vision, tunnel vision, eye pain or redness, or seeing halos around lights; high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; or low potassium level--leg cramps, constipation, irregular heartbeats, fluttering in your chest, numbness or tingling, muscle weakness or limp feeling. Common side effects of formoterol and glycopyrrolate may include: cough; or urination problems.",formoterol and glycopyrrolate,Bronchodilator combinations,Bevespi Aerosphere
ivermectin,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: eye pain or redness, puffy eyes, problems with your vision; severe skin rash , itching, or rash with pus; confusion, change in your mental status, balance problems, trouble walking; fever, swollen glands, stomach pain, joint pain, swelling in your hands or feet; fast heart rate , trouble breathing; loss of bladder or bowel control; neck or back pain , seizure (convulsions); or a light-headed feeling, like you might pass out. Common ivermectin side effects may include: headache , muscle aches; dizziness ; nausea , diarrhea ; or mild skin rash.",ivermectin (oral),Anthelmintics,Stromectol
remdesivir,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Some side effects may occur during or after the injection. Tell your caregiver right away if you have: severe headache , pounding in your neck or ears; fast, slow, or pounding heartbeats; wheezing, trouble breathing; swelling in your face; nausea ; fever, chills, or shivering; itching, sweating; or a light-headed feeling, like you might pass out; Common side effects of remdesivir may include: nausea; or abnormal liver function tests .",remdesivir,"Investigational drugs, Purine nucleosides",Veklury
Pfizer-BioNTech COVID-19 Vaccine,"hives , rash; dizziness , weakness, fast heartbeats; difficult breathing; swelling of your face, lips, tongue, or throat. Your vaccination provider may want to watch you for a short time after your shot, to make sure you don't have an allergic reaction. You will be treated quickly if you have a reaction right after you receive the vaccine. You should not receive this vaccine again if the first shot caused a severe allergic reaction. Your doctor or vaccination provider will determine if you can safely receive another COVID-19 vaccine. Not all possible side effects are known. Becoming infected with COVID-19 is much more dangerous to your health than receiving this vaccine. Some people receiving Pfizer-BioNTech COVID-19 Vaccine had inflammation of the heart muscle or the lining around the heart within a few days after receiving this vaccine, but the risk of this side effect is very low. Seek medical attention right away if you have: chest pain; shortness of breath; or fast or pounding heartbeats or fluttering in your chest. Not all possible side effects are known. Common Pfizer-BioNTech COVID-19 Vaccine side effects may include: fever, chills, swollen glands, not feeling well; pain, redness, or swelling where the shot was given; feeling tired; or headache, muscle pain, joint pain.","COVID-19 (coronavirus 2019) vaccine, Pfizer",Viral vaccines,Comirnaty
tocilizumab,"hives ; chest pain, difficulty breathing, feeling like you might pass out; swelling of your face, lips, tongue, or throat. Tocilizumab may cause serious side effects. Call your doctor at once if you have: severe stomach cramps, bloating , diarrhea or constipation ; unusual bleeding-- nosebleeds , bleeding gums, abnormal vaginal bleeding , any bleeding that will not stop, blood in your urine or stools, coughing up blood or vomit that looks like coffee grounds; liver problems--loss of appetite, right-sided stomach pain, vomiting, confusion, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes); signs of infection--fever, chills, aches, skin sores, diarrhea, burning when you urinate; signs of tuberculosis: cough, shortness of breath, night sweats , loss of appetite, weight loss, and feeling very tired; or signs of perforation (a hole or tear) in your stomach or intestines--fever, ongoing stomach pain, change in bowel habits. Common side effects of tocilizumab may include: runny or stuffy nose, sinus pain, sore throat ; headache ; increased blood pressure; abnormal liver function tests ; or pain, swelling, burning, or irritation where an injection was given.",tocilizumab,Interleukin inhibitors,Actemra
anakinra,"hives , sweating, severe itching; wheezing, difficult breathing; fast or pounding heartbeats; dizziness , fainting; swelling of your face, lips, tongue, or throat. If you are using anakinra for DIRA, you may have an increased risk of allergic reactions , especially in the first weeks of treatment. Anakinra may cause serious side effects. Call your doctor at once if you have: fever or chills; low white blood cell counts--mouth sores, skin sores, sore throat ; signs of tuberculosis: fever, cough, night sweats , loss of appetite, weight loss , and feeling very tired. Common side effects of anakinra may include: abnormal liver function tests ; rash; worsening arthritis symptoms; nausea , vomiting , diarrhea , stomach pain; headache ; joint pain; flu symptoms; cold symptoms such as stuffy nose, sneezing, sore throat; or redness, bruising, itching, stinging, or swelling where the injection was given.",anakinra,"Antirheumatics, Interleukin inhibitors",Kineret
baricitinib,"Stop taking baricitinib and get emergency medical help if you have signs of an allergic reaction: hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Some people taking baricitinib have developed heart attacks, strokes, or serious blood clots. Stop taking baricitinib and seek emergency medical attention if you have: sudden shortness of breath; chest pain or pressure that may spread to your jaw, shoulder, arms, or back; nausea, vomiting , cold sweat; a light-headed feeling, like you might pass out; weakness on one side of your body; slurred speech, drooping on one side of your mouth; or pain, swelling, or redness in an arm or a leg. Baricitinib may cause serious side effects. Call your doctor at once if you have: fever, chills, night sweats, constant tiredness; wheezing, trouble breathing, severe or worsening cough; increased urination, pain or burning when you urinate; unexplained weight loss ; lumps in your neck, armpits, or groin; signs of shingles--flu-like symptoms, tingly or painful blistering rash on one side of your body; a hole (perforation) in your digestive tract--fever, severe stomach pain, diarrhea or changes in bowel habits; or signs of hepatitis--loss of appetite, vomiting, stomach pain (upper right side), dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Common side effects of baricitinib may include: cold sores , shingles; nausea; or cold symptoms such as stuffy nose, sneezing, sore throat .",baricitinib,"Antirheumatics, Selective immunosuppressants",Olumiant
nirmatrelvir / ritonavir,"liver problems--loss of appetite, stomach pain (upper right side), tiredness, itching, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Ritonavir affects your immune system, which may cause certain side effects (even weeks or months after you've taken nirmatrelvir and ritonavir). Tell your doctor if you have: signs of a new infection--fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common side effects of nirmatrelvir and ritonavir may include: changes in your sense of taste; diarrhea; elevated blood pressure; or muscle pain.",nirmatrelvir and ritonavir Brand name: Paxlovid,Antiviral combinations,Paxlovid
sars-cov-2 (covid-19) mrna (tozinameran 12y+) bivalent booster vaccine,"hives , rash; dizziness , weakness, fast heartbeats; difficult breathing; swelling of your face, lips, tongue, or throat. Your vaccination provider may want to watch you for a short time after your shot, to make sure you don't have an allergic reaction. You will be treated quickly if you have a reaction right after you receive the vaccine. You should not receive this vaccine if the first shot of COVID-19 vaccine caused an allergic reaction. Your doctor or vaccination provider will determine if you can safely receive this vaccine. Not all possible side effects are known. Becoming infected with COVID-19 is much more dangerous to your health than receiving this vaccine. Some people receiving this vaccine had inflammation of the heart muscle or the lining around the heart within a few days after receiving this vaccine, but the risk of this side effect is very low. Seek medical attention right away if you have: chest pain; shortness of breath; or fast or pounding heartbeats or fluttering in your chest. Common side effects of COVID-19 (coronavirus 2019, 12y+) bivalent booster vaccine, Pfizer may include: fever, chills; redness or a hardness and swelling where the shot was given; swelling or tenderness under your arm; nausea, vomiting; feeling tired; or headache, muscle pain, joint pain.","COVID-19 (coronavirus 2019, 12y+) bivalent booster vaccine, Pfizer",Viral vaccines,Pfizer-BioNTech COVID-19 (12y+) Bivalent Booster Vaccine PF
sars-cov-2 mrna (tozinameran 6m-4y) vaccine,"hives , rash; dizziness , weakness, fast heartbeats; difficult breathing; swelling of the face, lips, tongue, or throat. The vaccination provider may want to watch your child for a short time after the shot, to make sure he or she doesn't have an allergic reaction. Your child will be treated quickly if he or she has a reaction right after receiving the vaccine. Your child should not receive this vaccine again if the first shot caused an allergic reaction. The doctor or vaccination provider will determine if he or she can safely receive another COVID-19 vaccine. Not all possible side effects are known. Becoming infected with COVID-19 is much more dangerous to your child's health than receiving this vaccine. Some people receiving this vaccine had inflammation of the heart muscle or the lining around the heart within a few days after receiving this vaccine, but the risk of this side effect is very low. Seek medical attention right away if your child has: chest pain; shortness of breath; or fast or pounding heartbeats or fluttering in the chest. Common side effects of COVID-19 (coronavirus 2019, 6m-4y) vaccine, Pfizer may include: fever, chills, swollen glands, not feeling well; pain, redness, or swelling where the shot was given; feeling tired; or headache, muscle pain, joint pain.","COVID-19 (coronavirus 2019, 6m-4y) vaccine, Pfizer",Viral vaccines,Pfizer-BioNTech COVID-19 (6m-4y) Vaccine PF
sars-cov-2 mrna-1273 (6m-5y) vaccine,"hives , rash; dizziness , weakness, fast heartbeats; difficult breathing; swelling of your face, lips, tongue, or throat. Your vaccination provider may want to watch you for a short time after your shot, to make sure you don't have an allergic reaction. You will be treated quickly if you have a reaction right after you receive the vaccine. You should not receive this vaccine again if the first shot caused an allergic reaction. Your doctor or vaccination provider will determine if you can safely receive another COVID-19 vaccine. Not all possible side effects are known. Becoming infected with COVID-19 is much more dangerous to your health than receiving this vaccine. Some people receiving this vaccine had inflammation of the heart muscle or the lining around the heart within a few days after receiving this vaccine, but the risk of this side effect is very low. Seek medical attention right away if you have: chest pain; shortness of breath; or fast or pounding heartbeats or fluttering in your chest. Common side effects of COVID-19 (coronavirus 2019, 6m-5y) vaccine, Moderna may include: fever, chills; redness or a hardness and swelling where the shot was given; swelling or tenderness under your arm; nausea, vomiting; feeling tired; or headache, muscle pain, joint pain.","COVID-19 (coronavirus 2019, 6m-5y) vaccine, Moderna (KOE vid (koe ROE na vye rus) VAX een) Brand name: Moderna COVID-19 (6m-5y) Vaccine PF",Viral vaccines,Moderna COVID-19 (6m-5y) Vaccine PF
Prozac,"mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Prozac may cause serious side effects. Call your doctor at once if you have: blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); low levels of sodium in the body - headache , confusion, slurred speech, severe weakness, vomiting , loss of coordination, feeling unsteady; or severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Common side effects of Prozac may include: sleep problems ( insomnia ), strange dreams; headache, dizziness, drowsiness, vision changes; tremors or shaking, feeling anxious or nervous; pain, weakness, yawning, tired feeling; upset stomach , loss of appetite, nausea, vomiting, diarrhea; dry mouth, sweating, hot flashes ; changes in weight or appetite; stuffy nose, sinus pain, sore throat, flu symptoms; or decreased sex drive, impotence , or difficulty having an orgasm.",fluoxetine,Selective serotonin reuptake inhibitors,Prozac Weekly
fluoxetine,"mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Fluoxetine may cause serious side effects. Call your doctor at once if you have: blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; fast or pounding heartbeats, fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out); low levels of sodium in the body - headache , confusion, slurred speech, severe weakness, vomiting , loss of coordination, feeling unsteady; or severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Common fluoxetine side effects may include: sleep problems ( insomnia ), strange dreams; headache, dizziness, drowsiness, vision changes; tremors or shaking, feeling anxious or nervous; pain, weakness, yawning, tired feeling; upset stomach , loss of appetite, nausea, vomiting, diarrhea; dry mouth, sweating, hot flashes ; changes in weight or appetite; stuffy nose, sinus pain, sore throat, flu symptoms; or decreased sex drive, impotence , or difficulty having an orgasm.",fluoxetine,Selective serotonin reuptake inhibitors,"Prozac, Sarafem, Rapiflux, Selfemra"
Wellbutrin XL,"mood or behavior changes, anxiety , depression, panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Wellbutrin XL may cause serious side effects. Call your doctor at once if you have: a seizure (convulsions); confusion, unusual changes in mood or behavior; blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; fast or irregular heartbeats; or a manic episode--racing thoughts, increased energy, reckless behavior, feeling extremely happy or irritable, talking more than usual, severe problems with sleep. Common side effects of Wellbutrin XL may include: dry mouth, sore throat, stuffy nose; ringing in the ears; blurred vision; nausea , vomiting , stomach pain, loss of appetite, constipation ; sleep problems ( insomnia ); tremors, sweating, feeling anxious or nervous; fast heartbeats; confusion, agitation , hostility; rash; weight loss ; increased urination; headache , dizziness ; or muscle or joint pain.",bupropion,Miscellaneous antidepressants,"Aplenzin, Forfivo XL, Wellbutrin SR"
vortioxetine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Vortioxetine may cause serious side effects. Call your doctor at once if you have: racing thoughts, decreased need for sleep, unusual risk-taking behavior, feelings of extreme happiness or sadness, being more talkative than usual; vision changes, eye pain , eye redness or swelling; easy bruising, unusual bleeding, coughing up blood ; or low sodium level (may be more likely to occur in older adults--confusion, memory problems, hallucinations, slurred speech, severe weakness, feeling unsteady. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting , or diarrhea . Common side effects of vortioxetine may include: nausea; constipation ; or vomiting.",vortioxetine,Miscellaneous antidepressants,Trintellix
brexpiprazole,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. High doses or long-term use of brexpiprazole can cause a serious movement disorder that may not be reversible. The longer you use brexpiprazole, the more likely you are to develop this disorder, especially if you are a diabetic or an older adult. Brexpiprazole may cause serious side effects. Call your doctor at once if you have: uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement); trouble swallowing; feelings of warmth, intolerance to heat; a seizure (convulsions); a light-headed feeling, like you might pass out; high blood sugar--increased thirst, increased urination, dry mouth, fruity breath odor; low white blood cell counts--fever, mouth sores, skin sores, sore throat , cough, trouble breathing; severe nervous system reaction--very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors; or signs of a blood clot--sudden numbness or weakness, problems with vision or speech, swelling or redness in an arm or leg. You may have increased sexual urges, unusual urges to gamble, or other intense urges while taking this medicine. Talk with your doctor if this occurs. Common side effects of brexpiprazole may include: weight gain; or feeling restless or being unable to sit still.",brexpiprazole,Atypical antipsychotics,Rexulti
Remeron,"mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: racing thoughts, decreased need for sleep, unusual risk-taking behavior, feelings of extreme happiness or sadness, being more talkative than usual; blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; a light-headed feeling, like you might pass out; severe rash, blisters, or swelling on the palms of your hands or the soles of your feet; a seizure; low white blood cell counts - fever, chills, sore throat, cough, sores in your mouth or nose, flu-like symptoms, trouble breathing; or low sodium level - headache , confusion, slurred speech, severe weakness, vomiting, loss of coordination, feeling unsteady. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Common Remeron side effects include: drowsiness, dizziness; increased appetite; or weight gain.",mirtazapine,Tetracyclic antidepressants,Remeron SolTab
Wellbutrin SR,"mood or behavior changes, anxiety , depression, panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Wellbutrin SR may cause serious side effects. Call your doctor at once if you have: a seizure (convulsions); confusion, unusual changes in mood or behavior; blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; fast or irregular heartbeats; or a manic episode--racing thoughts, increased energy, reckless behavior, feeling extremely happy or irritable, talking more than usual, severe problems with sleep. Common side effects of Wellbutrin SR may include: dry mouth, sore throat, stuffy nose; ringing in the ears; blurred vision; nausea , vomiting , stomach pain, loss of appetite, constipation ; sleep problems ( insomnia ); tremors, sweating, feeling anxious or nervous; fast heartbeats; confusion, agitation , hostility; rash; weight loss ; increased urination; headache , dizziness ; or muscle or joint pain.",bupropion,Miscellaneous antidepressants,"Aplenzin, Forfivo XL, Wellbutrin XL"
amitriptyline,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: signs of a blood clot - sudden numbness or weakness, problems with vision or speech, swelling or redness in an arm or leg; unusual thoughts or behavior; a light-headed feeling, like you might pass out; chest pain or pressure, pain spreading to your jaw or shoulder, nausea , sweating; pounding heartbeats or fluttering in your chest; confusion, hallucinations; a seizure (convulsions); painful or difficult urination; severe constipation ; easy bruising, unusual bleeding; or fever, chills, sore throat , mouth sores. Common amitriptyline side effects may include: constipation, diarrhea ; nausea, vomiting , upset stomach ; mouth pain, unusual taste, black tongue; appetite or weight changes; urinating less than usual; itching or rash; breast swelling (in men or women); or decreased sex drive, impotence , or difficulty having an orgasm.",amitriptyline,Tricyclic antidepressants,"Elavil, Vanatrip"
Deplin,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Less serious side effects may occur, and you may have none at all.",l-methylfolate,Vitamins,"L-Methylfolate Formula, XaQuil XR"
nortriptyline,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have: blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; restless muscle movements in your eyes, tongue, jaw, or neck; a light-headed feeling, like you might pass out; seizure (convulsions); new or worsening chest pain, pounding heartbeats or fluttering in your chest; sudden numbness or weakness, problems with vision, speech, or balance; fever, sore throat , easy bruising, unusual bleeding; painful or difficult urination; or jaundice (yellowing of the skin or eyes). Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Common nortriptyline side effects may include: increased blood pressure; numbness or tingling in your hands or feet; dry mouth, nausea, vomiting, loss of appetite; blurred vision; rash, itching; or breast swelling (in men or women).",nortriptyline,Tricyclic antidepressants,Pamelor
Irenka,"pounding heartbeats or fluttering in your chest; a light-headed feeling, like you might pass out; easy bruising, unusual bleeding; vision changes; painful or difficult urination; liver problems--right-sided upper stomach pain, itching, dark urine, jaundice (yellowing of the skin or eyes); low blood sodium-- headache , confusion, problems with thinking or memory, weakness, feeling unsteady; or manic episodes--racing thoughts, increased energy, decreased need for sleep, risk-taking behavior, being agitated or talkative. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Common side effects of Irenka may include: drowsiness; nausea, constipation , loss of appetite; dry mouth; or increased sweating.",duloxetine,Serotonin-norepinephrine reuptake inhibitors,"Cymbalta, Drizalma Sprinkle"
fluvoxamine,"skin rash , blisters, or hives ; fever, joint pain; difficult breathing; swelling of your face, lips, tongue, or throat. Tell your doctor right away if you have new or sudden changes in mood or behavior, including new or worse depression or anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, more active or talkative, or have thoughts about suicide or hurting yourself. Call your doctor at once if you have; anxiety, racing thoughts, risk-taking behavior, sleep problems ( insomnia ), feelings of extreme happiness or irritability; blurred vision, eye pain or redness, seeing halos around lights; a seizure; changes in weight or appetite; easy bruising or unusual bleeding; or low blood sodium-- headache , confusion, problems with thinking or memory, weakness, feeling unsteady. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea Fluvoxamine can affect growth in children. Your child's height and weight should be checked often. Common side effects of fluvoxamine may include: drowsiness, dizziness , weakness; anxiety, depression, agitation, trouble sleeping; shaking, increased muscle movements; upset stomach , gas, loss of appetite; nausea, vomiting, diarrhea; dry mouth, yawning, sore throat ; muscle pain; sweating, rash; heavy menstrual periods; or sexual problems.",fluvoxamine,Selective serotonin reuptake inhibitors,"Luvox, Luvox CR"
l-methylfolate,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Less serious side effects may occur, and you may have none at all.",l-methylfolate,Vitamins,"Deplin, L-Methylfolate Formula, XaQuil XR, Duleek-DP, L-Methylfolate Forte, Elfolate, Denovo"
Remeron SolTab,"mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Remeron SolTab may cause serious side effects. Call your doctor at once if you have: racing thoughts, decreased need for sleep, unusual risk-taking behavior, feelings of extreme happiness or sadness, being more talkative than usual; blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; a light-headed feeling, like you might pass out; severe rash, blisters, or swelling on the palms of your hands or the soles of your feet; a seizure; low white blood cell counts--fever, chills, sore throat, cough, sores in your mouth or nose, flu-like symptoms, trouble breathing; or low sodium level -- headache , confusion, slurred speech, severe weakness, vomiting , loss of coordination, feeling unsteady. Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Common side effects include: drowsiness, dizziness ; increased appetite; or weight gain.",mirtazapine,Tetracyclic antidepressants,Remeron
amoxapine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety, panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Amoxapine may cause serious side effects. Call your doctor at once if you have: skin rash , fever; uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement); pounding heartbeats or fluttering in your chest; chest pain or pressure, pain spreading to your jaw or shoulder; sudden numbness or weakness (especially on one side of the body), slurred speech, problems with vision or balance; or severe nervous system reaction--very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors, feeling like you might pass out. Common side effects of amoxapine may include: drowsiness; constipation ; dry mouth; or blurred vision.",amoxapine,Tricyclic antidepressants,Asendin
clomipramine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash , fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. Report any new or worsening symptoms to your doctor, such as: mood or behavior changes, anxiety , panic attacks , trouble sleeping, or if you feel impulsive, irritable, agitated, hostile, aggressive, restless, hyperactive (mentally or physically), more depressed, or have thoughts about suicide or hurting yourself. Clomipramine may cause serious side effects. Call your doctor at once if you have: low sodium level -- headache , confusion, slurred speech, severe weakness, vomiting , loss of coordination, feeling unsteady; blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights; confusion, extreme fear, thoughts of hurting yourself; pain or burning when you urinate; or a seizure (convulsions). Seek medical attention right away if you have symptoms of serotonin syndrome, such as: agitation , hallucinations, fever, sweating, shivering, fast heart rate , muscle stiffness, twitching, loss of coordination, nausea , vomiting, or diarrhea . Common side effects of clomipramine may include: feeling dizzy, drowsy, tired, or nervous; tremors, jerking muscle movements; sweating; changes in appetite or weight; urination problems; vision changes; or decreased sex drive, impotence , or difficulty having an orgasm.",clomipramine,Tricyclic antidepressants,Anafranil
ketamine,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Tell your caregivers if you have hallucinations or unusual thoughts while waking up from anesthesia. Ketamine may cause serious side effects. Call your doctor at once if you have: painful or difficult urination, increased urination, loss of bladder control, blood in your urine; a light-headed feeling, like you might pass out; slow heart rate , weak or shallow breathing; or jerky muscle movements that may look like convulsions. Common side effects of ketamine may include: confusion; or dream-like feeling.",ketamine,General anesthetics,Ketalar
